f(t)

T_MIN    0
T_MAX    1.6678204759907604e-009
NUM_T    2001
DELTA_T  8.3391023799538018e-013

0	0	0
1	8.3391023799538018e-013	0
2	1.6678204759907604e-012	0
3	2.5017307139861403e-012	0
4	3.3356409519815207e-012	0
5	4.1695511899769011e-012	0
6	5.0034614279722807e-012	0
7	5.837371665967661e-012	0
8	6.6712819039630414e-012	0
9	7.5051921419584218e-012	0
10	8.3391023799538022e-012	0
11	9.1730126179491825e-012	-8.1895323840724278e-011
12	1.0006922855944561e-011	-2.4774777905933402e-010
13	1.0840833093939942e-011	-4.1745910312851515e-010
14	1.1674743331935322e-011	-5.904772707669187e-010
15	1.2508653569930702e-011	-7.6620530400274636e-010
16	1.3342563807926083e-011	-9.4400160859047223e-010
17	1.4176474045921463e-011	-1.1231805361198421e-009
18	1.5010384283916844e-011	-1.3030131810521164e-009
19	1.5844294521912222e-011	-1.5645937541575781e-009
20	1.6678204759907604e-011	-1.9091075304120639e-009
21	1.7512114997902983e-011	-2.2550908430409338e-009
22	1.8346025235898365e-011	-2.5999156275670187e-009
23	1.9179935473893744e-011	-2.8574995891570708e-009
24	2.0013845711889123e-011	-3.0188358396682431e-009
25	2.0847755949884505e-011	-3.1586069053300611e-009
26	2.1681666187879883e-011	-3.2692808906624225e-009
27	2.2515576425875265e-011	-3.5178193727146497e-009
28	2.3349486663870644e-011	-3.9120668156763088e-009
29	2.4183396901866026e-011	-4.299912989830984e-009
30	2.5017307139861405e-011	-4.6866313867179038e-009
31	2.5851217377856787e-011	-4.8180007239069763e-009
32	2.6685127615852166e-011	-4.6758592060074337e-009
33	2.7519037853847544e-011	-4.4883806712140361e-009
34	2.8352948091842926e-011	-4.2448910263734835e-009
35	2.9186858329838308e-011	-3.9563636564089789e-009
36	3.0020768567833687e-011	-3.6329933130592518e-009
37	3.0854678805829066e-011	-3.2908741583474318e-009
38	3.1688589043824445e-011	-2.9423043466042228e-009
39	3.252249928181983e-011	-2.5869076331218558e-009
40	3.3356409519815209e-011	-2.2221996264183198e-009
41	3.4190319757810587e-011	-1.8523938300699848e-009
42	3.5024229995805966e-011	-1.4848609894573898e-009
43	3.5858140233801345e-011	-1.1385056348231247e-009
44	3.669205047179673e-011	-8.1785732250315561e-010
45	3.7525960709792109e-011	-5.3052088959123048e-010
46	3.8359870947787488e-011	-2.5786657635642613e-010
47	3.9193781185782866e-011	1.2873238588023671e-011
48	4.0027691423778245e-011	2.9014342867640868e-010
49	4.086160166177363e-011	4.961391847040905e-010
50	4.1695511899769009e-011	6.2197635485525141e-010
51	4.2529422137764388e-011	7.4244514540470177e-010
52	4.3363332375759767e-011	8.6009351087907275e-010
53	4.4197242613755152e-011	9.3717344657808103e-010
54	4.5031152851750531e-011	1.0004498007004972e-009
55	4.5865063089745909e-011	1.4971956337626923e-009
56	4.6698973327741288e-011	2.419971265080993e-009
57	4.7532883565736667e-011	3.5916055963330831e-009
58	4.8366793803732052e-011	4.9658677925943393e-009
59	4.9200704041727431e-011	6.0178400450230007e-009
60	5.003461427972281e-011	6.7563904805852908e-009
61	5.0868524517718189e-011	7.4878725291800911e-009
62	5.1702434755713574e-011	8.2320842411417527e-009
63	5.2536344993708953e-011	9.0564642140218571e-009
64	5.3370255231704331e-011	9.9417940155101008e-009
65	5.420416546969971e-011	1.0831519430604233e-008
66	5.5038075707695089e-011	1.1722342323152986e-008
67	5.5871985945690474e-011	1.2639142249192015e-008
68	5.6705896183685853e-011	1.3577477025574968e-008
69	5.7539806421681232e-011	1.4524572119204069e-008
70	5.8373716659676617e-011	1.5463519946966756e-008
71	5.9207626897671996e-011	1.6288996116467646e-008
72	6.0041537135667374e-011	1.7011987937819401e-008
73	6.0875447373662753e-011	1.7709905467300074e-008
74	6.1709357611658132e-011	1.8381307123328281e-008
75	6.2543267849653511e-011	1.9011790528019697e-008
76	6.3377178087648889e-011	1.9583167550384401e-008
77	6.4211088325644268e-011	2.0076431112291478e-008
78	6.504499856363966e-011	2.0489032867358253e-008
79	6.5878908801635039e-011	2.0823311557714869e-008
80	6.6712819039630417e-011	2.107019401187903e-008
81	6.7546729277625796e-011	2.1230634354303799e-008
82	6.8380639515621175e-011	2.1309270489374624e-008
83	6.9214549753616554e-011	2.1309152287915397e-008
84	7.0048459991611932e-011	2.123118665827501e-008
85	7.0882370229607311e-011	2.1070221741008328e-008
86	7.171628046760269e-011	2.0809600559263854e-008
87	7.2550190705598082e-011	2.0449557705063855e-008
88	7.338410094359346e-011	1.9982070899828864e-008
89	7.4218011181588839e-011	1.9409651770168067e-008
90	7.5051921419584218e-011	1.8729281428870035e-008
91	7.5885831657579597e-011	1.7962503530327723e-008
92	7.6719741895574975e-011	1.710584142994692e-008
93	7.7553652133570354e-011	1.6051461162113147e-008
94	7.8387562371565733e-011	1.4808080491787787e-008
95	7.9221472609561112e-011	1.3431285051200473e-008
96	8.005538284755649e-011	1.1922438028852571e-008
97	8.0889293085551882e-011	1.027464444012983e-008
98	8.1723203323547261e-011	8.4735615762872096e-009
99	8.255711356154264e-011	6.5586654551080556e-009
100	8.3391023799538018e-011	4.5340015613646526e-009
101	8.4224934037533397e-011	2.5163528403540355e-009
102	8.5058844275528776e-011	5.0592202386679324e-010
103	8.5892754513524155e-011	-1.5148084877774018e-009
104	8.6726664751519533e-011	-3.5665197645939274e-009
105	8.7560574989514912e-011	-6.1826967881794856e-009
106	8.8394485227510304e-011	-9.335337286710669e-009
107	8.9228395465505683e-011	-1.2797320815158563e-008
108	9.0062305703501061e-011	-1.6528181099065095e-008
